Price,Close,High,Low,Open,Volume
Ticker,^WIG20,^WIG20,^WIG20,^WIG20,^WIG20
Date,,,,,
2018-01-03,2463.25,2474.760009765625,2430.68994140625,2463.260009765625,20064100
2018-01-04,2533.169921875,2536.840087890625,2473.22998046875,2473.22998046875,29545300
2018-01-05,2529.550048828125,2538.340087890625,2514.090087890625,2530.77001953125,24112300
2018-01-08,2548.610107421875,2551.320068359375,2529.449951171875,2534.530029296875,19512200
2018-01-09,2528.3798828125,2555.68994140625,2522.2099609375,2552.5,23262200
2018-01-10,2511.27001953125,2531.60009765625,2499.760009765625,2531.050048828125,20258100
2018-01-11,2534.56005859375,2534.56005859375,2504.669921875,2517.35009765625,23852800
2018-01-12,2539.2900390625,2550.7900390625,2527.02001953125,2536.81005859375,16816700
2018-01-16,2591.10009765625,2602.340087890625,2529.679931640625,2541.610107421875,29768100
2018-01-17,2600.3701171875,2606.590087890625,2584.68994140625,2587.719970703125,19989900
2018-01-18,2591.219970703125,2610.6298828125,2591.219970703125,2604.7900390625,17179200
2018-01-19,2601.820068359375,2604.4599609375,2589.889892578125,2592.75,14466300
2018-01-22,2620.8701171875,2621.929931640625,2599.949951171875,2600.43994140625,16604100
2018-01-23,2630.3701171875,2650.159912109375,2613.070068359375,2629.530029296875,27657400
2018-01-24,2621.590087890625,2630.2099609375,2606.340087890625,2629.39990234375,18730600
2018-01-25,2589.300048828125,2616.469970703125,2587.949951171875,2614.919921875,20294900
2018-01-26,2600.47998046875,2601.989990234375,2587.260009765625,2592.22998046875,18613100
2018-01-29,2593.39990234375,2607.830078125,2583.39990234375,2599.199951171875,14025500
2018-01-30,2566.139892578125,2581.75,2557.590087890625,2581.75,17231900
2018-01-31,2553.81005859375,2577.47998046875,2553.81005859375,2565.2900390625,17448700
2018-02-01,2534.2099609375,2580.22998046875,2511.050048828125,2558.830078125,17000800
2018-02-02,2507.239990234375,2530.02001953125,2502.949951171875,2526.550048828125,17211800
2018-02-05,2505.97998046875,2508.699951171875,2482.56005859375,2492.389892578125,17405700
2018-02-06,2412.030029296875,2450.469970703125,2401.889892578125,2445.530029296875,31515400
